ID,Feedback,Category
1,The teachers were really helpful and explain the doubts clearly.,Staff
2,The fans in the classroom were not working.,Facilities
3,The syllabus was too hard.,Academics
4,It took 2 weeks to get my ID card from the office.,Administration
5,Wi-Fi was not working in the hostel.,Facilities
6,Library books are old and outdated.,Academics
7,The administration was very slow.,Administration
8,The classroom is very spacious.,Facilities
9,We need more practical classes.,Administration
10,Professors are very encouraging.,Academics
